freq,unit,sector,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_NAC,S1,B1GQ,BE	256376.4 	264334.9 	273255.9 	281200.2 	296819.7 	310037.6 	325151.5 	343618.9 	351743.1 	346472.8 	363140.1 	375967.8 	386174.7 	392880.0 	403003.3 	416701.4 	430085.3 	445050.1 	460050.8 	478676.2 	460747.7 	507929.6 	554044.3 
A,MIO_NAC,S1,B1GQ,BG	28124.9 	30986.7 	34068.7 	36637.9 	41201.3 	47017.2 	53608.4 	63494.5 	72847.0 	73181.5 	74887.6 	81126.3 	82642.8 	82253.4 	84147.7 	89571.4 	95349.4 	102683.0 	109915.6 	120342.0 	120492.4 	138979.4 	167809.0 
A,MIO_NAC,S1,B1GQ,CY	10595.0 	11416.9 	11877.0 	12845.3 	13856.4 	14822.3 	16000.0 	17511.6 	19009.6 	18675.5 	19461.1 	19858.1 	19495.4 	18040.3 	17482.8 	17944.2 	19013.8 	20312.4 	21674.0 	23177.9 	22086.6 	24927.6 	27777.0 
A,MIO_NAC,S1,B1GQ,CZ	2386289.0 	2579126.0 	2690982.0 	2823452.0 	3079207.0 	3285601.0 	3530881.0 	3859533.0 	4042860.0 	3954320.0 	3992870.0 	4062323.0 	4088912.0 	4142811.0 	4345766.0 	4625378.0 	4796873.0 	5110743.0 	5410761.0 	5791498.0 	5709131.0 	6108717.0 	6785852.0 
A,MIO_NAC,S1,B1GQ,DE	2109090.0 	2172540.0 	2198120.0 	2211570.0 	2262520.0 	2288310.0 	2385080.0 	2499550.0 	2546490.0 	2445730.0 	2564400.0 	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3026180.0 	3134740.0 	3267160.0 	3365450.0 	3474110.0 	3403730.0 	3617450.0 	3876810.0 
A,MIO_NAC,S1,B1GQ,DK	1326912.0 	1371526.0 	1410271.0 	1436751.0 	1506001.0 	1585984.0 	1682260.0 	1738845.0 	1801470.0 	1722143.0 	1810926.0 	1846854.0 	1895002.0 	1929677.0 	1981165.0 	2036356.0 	2107808.0 	2192960.0 	2253316.0 	2310955.0 	2320912.0 	2550606.0 	2831644.0 
A,MIO_NAC,S1,B1GQ,EE	6171.6 	6987.1 	7822.6 	8744.4 	9777.5 	11343.3 	13568.9 	16401.3 	16618.1 	14131.9 	14741.1 	16677.3 	17916.7 	18910.8 	20048.2 	20631.4 	21747.9 	23833.6 	25932.2 	27951.0 	27430.0 	31169.0 	36011.1 
A,MIO_NAC,S1,B1GQ,EL	141247.0 	152194.0 	163461.0 	178905.0 	193716.0 	199242.0 	217862.0 	232695.0 	241990.0 	237534.0 	224124.0 	203308.0 	188381.0 	179884.0 	177236.0 	176369.0 	174494.0 	176903.0 	179558.0 	183347.0 	165016.0 	181500.0 	206620.0 
A,MIO_NAC,S1,B1GQ,ES	647851.0 	700993.0 	749552.0 	802266.0 	859437.0 	927357.0 	1003823.0 	1075539.0 	1109541.0 	1069323.0 	1072709.0 	1063763.0 	1031104.0 	1020677.0 	1032608.0 	1078092.0 	1114420.0 	1162492.0 	1203859.0 	1245513.0 	1119010.0 	1222290.0 	1346377.0 
A,MIO_NAC,S1,B1GQ,FI	136442.0 	144628.0 	148486.0 	151749.0 	158758.0 	164687.0 	172897.0 	187072.0 	194265.0 	181747.0 	188143.0 	197998.0 	201037.0 	204321.0 	206897.0 	211385.0 	217518.0 	226301.0 	233462.0 	239858.0 	238038.0 	250923.0 	268645.0 
A,MIO_NAC,S1,B1GQ,FR	1478585.1 	1538199.9 	1587829.2 	1630665.8 	1704018.5 	1765904.9 	1848150.7 	1941360.2 	1992380.0 	1936422.3 	1995289.0 	2058368.9 	2088804.4 	2117189.5 	2149765.0 	2198432.0 	2234129.0 	2297242.0 	2363306.0 	2437635.0 	2317832.0 	2502118.0 	2639092.0 
A,MIO_NAC,S1,B1GQ,HR	23958.9 	25751.0 	28297.4 	31167.0 	33648.4 	36191.4 	39504.3 	43283.6 	46587.7 	44512.9 	44368.0 	45070.6 	44641.2 	44793.5 	44668.7 	45837.6 	47441.4 	49626.1 	52060.7 	54910.0 	50569.3 	58407.8 	67993.1 
A,MIO_NAC,S1,B1GQ,HU	13324052.0 	15398700.0 	17433859.0 	19130011.0 	21110059.0 	22594966.0 	24345409.0 	25741898.0 	27249944.0 	26520776.0 	27485093.0 	28538202.0 	28996631.0 	30351903.0 	32804707.0 	34965213.0 	36206666.0 	39274757.0 	43386710.0 	47674187.0 	48425421.0 	55198927.0 	66075190.0 
A,MIO_NAC,S1,B1GQ,IE	108495.3 	122089.2 	135997.9 	145576.9 	156260.0 	170306.8 	184916.2 	197069.4 	187283.0 	169519.7 	167391.4 	171823.5 	175218.5 	179285.6 	195469.9 	263506.8 	269724.8 	298528.3 	327441.4 	356357.4 	375249.6 	434069.7 	506282.4 
A,MIO_NAC,S1,B1GQ,IT	1241512.9 	1304136.8 	1350258.9 	1394693.2 	1452319.0 	1493635.3 	1552686.8 	1614839.8 	1637699.4 	1577255.9 	1611279.4 	1648755.8 	1624358.7 	1612751.3 	1627405.6 	1655355.0 	1695786.8 	1736592.8 	1771391.2 	1796648.5 	1661239.8 	1822344.5 	1946479.1 
A,MIO_NAC,S1,B1GQ,LT	13351.5 	14177.0 	15182.4 	16650.0 	18219.7 	20979.9 	24053.3 	29011.2 	32660.1 	26897.0 	28033.8 	31317.2 	33410.2 	35039.5 	36581.3 	37345.7 	38889.9 	42276.3 	45515.2 	48959.2 	49873.2 	56478.1 	67399.1 
A,MIO_NAC,S1,B1GQ,LU	22986.0 	23879.9 	25011.1 	26227.3 	28189.4 	30281.0 	34175.0 	37641.9 	40009.6 	39050.7 	42402.7 	44323.5 	46526.2 	49094.5 	51791.3 	54142.3 	56208.1 	58168.8 	60121.2 	62431.5 	64524.3 	72360.9 	77529.0 
A,MIO_NAC,S1,B1GQ,LV	6868.5 	7471.0 	8406.4 	9571.8 	11096.7 	13662.3 	17200.0 	22703.8 	24527.9 	19000.0 	18088.0 	19763.8 	21924.5 	22749.0 	23625.8 	24572.1 	25371.3 	26984.4 	29153.6 	30572.9 	30109.5 	33348.9 	38870.0 
A,MIO_NAC,S1,B1GQ,MT	4153.3 	4285.8 	4515.6 	4787.5 	4895.5 	5159.3 	5403.0 	5790.3 	6206.0 	6259.6 	6815.8 	6924.6 	7364.5 	7944.3 	8751.1 	9996.7 	10541.1 	11936.6 	13044.0 	14285.6 	13353.8 	15292.6 	17212.5 
A,MIO_NAC,S1,B1GQ,NL	452007.0 	481881.0 	501137.0 	512810.0 	529286.0 	550883.0 	584546.0 	619170.0 	647198.0 	624842.0 	639187.0 	650359.0 	652966.0 	660463.0 	671560.0 	690008.0 	708337.0 	738146.0 	773987.0 	813055.0 	796530.0 	870587.0 	958549.0 
A,MIO_NAC,S1,B1GQ,PL	748483.0 	781548.0 	812214.0 	847152.0 	933091.0 	990530.0 	1069431.0 	1187508.0 	1285571.0 	1372025.0 	1434368.0 	1553641.0 	1612739.0 	1630126.0 	1700552.0 	1798471.0 	1853205.0 	1982794.0 	2126506.0 	2288492.0 	2337672.0 	2631302.0 	3067495.0 
A,MIO_NAC,S1,B1GQ,PT	128414.4 	135775.0 	142554.3 	146067.9 	152248.4 	158552.7 	166260.5 	175483.4 	179102.8 	175416.4 	179610.8 	176096.2 	168295.6 	170492.3 	173053.7 	179713.2 	186489.8 	195947.2 	205184.1 	214374.6 	200518.9 	216053.2 	242340.8 
A,MIO_NAC,S1,B1GQ,RO	80873.1 	117391.4 	152271.5 	191917.6 	244688.3 	286861.9 	342762.6 	425691.1 	539834.6 	530894.4 	540336.3 	587203.3 	621268.7 	631602.9 	668876.4 	712543.6 	752116.4 	851619.7 	959058.6 	1063794.6 	1066780.5 	1189089.8 	1409783.9 
A,MIO_NAC,S1,B1GQ,SE	2408151.0 	2503731.0 	2598336.0 	2703551.0 	2830194.0 	2931085.0 	3121668.0 	3320278.0 	3412253.0 	3341167.0 	3573581.0 	3727905.0 	3743086.0 	3822671.0 	3992730.0 	4260470.0 	4415031.0 	4625094.0 	4828306.0 	5049619.0 	5038538.0 	5486558.0 	5979430.0 
A,MIO_NAC,S1,B1GQ,SI	18853.1 	21147.7 	23548.6 	25613.3 	27628.2 	29113.6 	31470.3 	35073.5 	37925.7 	36254.9 	36363.9 	37058.6 	36253.3 	36454.3 	37634.3 	38852.6 	40443.2 	43011.3 	45876.3 	48582.3 	47044.9 	52278.8 	57037.7 
A,MIO_NAC,S1,B1GQ,SK	31661.1 	34365.5 	37329.5 	41479.5 	46175.2 	50485.7 	56361.4 	63163.4 	68590.5 	64095.5 	68764.9 	71785.8 	73649.3 	74492.8 	76354.5 	80126.0 	81265.2 	84669.9 	89874.7 	94429.7 	93444.1 	100255.7 	109645.2 
