na_item;geo\TIME_PERIOD;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Ausgaben;EL;66377.6;69988;74860;83355;92237;90778;98292;109528;123041;128469;118690;112064;107688;113742;90678;96036;87744;86172;87779;88276;99332;104678;109252
Ausgaben;ES;253353;269274;289607;307871;333736;356857;385827;422204;459823;494355;493815;490976;510092;473465;468113;474881;473208;480265;503364;526652;580771;611470;637831
Ausgaben;EU27_2020;3707661.5;3881258.4;4049737.8;4193553.5;4321238.8;4495606.4;4690758.4;4896757;5178646.2;5365298.2;5548447;5568082.6;5670973.7;5717824.3;5775274.4;5878199;5943677.1;6107906.6;6297322.5;6529121.3;7118381.9;7516331.2;7893695.7
Ausgaben;FI;65417;68376;71971;74873;77987;80729;83111;87119;93006;98310;101422;106241;111456;116102;118504;119415.0 b;121044;121375;124626;127945;136128;139882;143133
Ausgaben;FR;763723;795531;838298;868664;902872;941123;977223;1020486;1061865;1106701;1134956;1158670;1192859;1211621;1229958;1248656;1266435;1298021;1315051;1349275;1421914.7;1477680.3;1538920.7
Ausgaben;HR;12892.6;13127.9;14024.3;15270.1;16410;16951.9;17959.8;20418;22290.2;22398.9;21970.6;22095.5;21086.3;21358.2;21513.9;21607.2;21818;22201.5;23956.9;25748.6;27298.8;28382.8;30535.2
Ausgaben;HU;24259.9;28357.5;36591.9;37051.4;40869.4;44924.6;47314.1;51065.1;52813;47831.7;48701.5;50116.4;49237.5;51183.1;53180.6;56823.8;54404.9;59343.1;62715.7;67538.9;70891.9;74508.8;82472.8
Ausgaben;IE;33164.7;39279.7;44715.8;47552.2;51287.1;56238.3;62062.7;70236.2;77829.7;79460.5;108627.8;81113.7;74665.9;72869.7;73315;76416.8;75894.1;77895.8;82801.5;86580.6;101970.2;105889;107576.1
Ausgaben;IS;4382.3;4351.8;4505.3;4835.6;5199.2;6105.4;6262.4;7082.3;7005.5;5046.5;5066.7;5525.7;5479.6;5577.1;6174.1;6866.8;8732.2;9733.5;9751.1;9605.9;9682.5;10807;12689.3
Ausgaben;IT;577746;617372;630568;657939;680842;705620;742085;755481;783371;806150;804476;810766;821764;821721;827625;832927;832265;846821;857245;870864;946814;1026036;1091530
Ausgaben;LT;4920.9;5074.6;5332.9;5597.1;6207.3;7157.4;8261.7;10238.5;12454.3;12090.6;11881.4;13319.7;12088.5;12460.1;12710.5;13133;13315.4;14047.5;15478;17057.5;21309.5;21150.9;24510.3
Ausgaben;LU;8730.5;9106.4;10444.6;11366.3;12311.9;13154.2;13462.3;14072.6;15173.1;16672.6;17817.1;18393.6;19453.8;20244.7;21030.5;21861.4;22509.6;24010.6;25431;26911.3;30301.2;31014.2;34024.3
Ausgaben;LV;3204.4;3249.9;3559.5;3547.1;4109.4;4798.6;6334;7872;9390.9;8528.5;8220.3;8318.1;8576.3;8782.2;9203.1;9506.7;9523.9;10307;11453.9;11733.2;12799;14891.2;15713.4
Ausgaben;MT;1767.2;1894.6;1961.5;2166.8;2056.3;2184.8;2279.6;2370.2;2617.4;2576.3;2737.1;2905;3103.8;3242.3;3523.5;3850.5;3834.1;4112.5;4692.5;5099.9;6047.8;6578.6;6866.2
Ausgaben;NL;191530;207640;218881;229208;231037;234593;253629;264371;281277;299259;307878;306631;307043;309368;309489;309465;309167;313410;327239;342493;380991;400161;416921.0 p
Ausgaben;NO;78819.3;85878.9;98083;97820.2;96790.7;105565.2;113451.9;122367.5;128631.5;129384.8;146956.3;158325.6;171737.9;174704.3;173878.8;171314.2;171850.5;178344.8;180787.3;186483;185998.9;200314.9;216572
Ausgaben;PL;80375.2;95440.2;95191.8;87834.1;89575;108916.1;122020.1;134642;161687;142711.7;166049.5;167464.2;167380.7;168604.9;174381.3;179398.7;175560.8;192918.7;206822.3;222991;253852.4;254137.4;287352.2
Ausgaben;PT;54783.3;59917.9;62344.8;66267.3;70388.3;74144.9;75225.8;78112.9;81206.5;88099.4;93215.6;88088.3;82277.8;85112.3;89529.6;86707.4;83615.9;88897.4;88722.5;91004.2;98743.3;102533.9;106873.6
Ausgaben;RO;15642;16401.4;16988.7;17544.4;20416.9;26540.3;34650.1;47894;55322.3;50002.2;50656.6;52779.2;50377.7;51409.8;53348.1;57716.5;58618.8;62634.4;71058.2;81393.1;92155.7;96695.1;114309
Ausgaben;SE;151311.4;142120.6;152110;159411.2;162771.6;165195.6;172426.3;177128.4;177603.6;164911.8;188967.5;205512.1;219333;228304.8;222558.7;224814.9;231874.2;236443.6;234738.4;234438.6;250389.7;265746.8;267273.5
Ausgaben;SI;10394.1;11325;11802.3;12376.9;12912;13510.9;14333.9;15225.3;17086.5;17895.8;18245.9;18846.7;17892.6;21970;19134.1;18925.3;18669.7;18955.1;19942.1;21072.7;24161.5;25861.2;26898.8
Ausgaben;SK;11815.3;10832.7;11971.1;12161.9;13180.1;15653.4;17703;20496.6;24452.6;28463.3;28977.7;29686.7;30276.4;31640.3;33028.6;36508.2;34574.9;33440.3;35652.9;38263.8;41804.1;45460;46334.7
